model_name,corruption_type,masking_ratio_requested,masking_ratio_actual,num_timesteps,context_window_words,rouge_l_f1,bertscore_f1,bertscore_precision,bertscore_recall,perplexity,latency_seconds
kuleshov-group/mdlm-owt,random_token,0.3,0.2992125984251969,1,75,0.7713004484304933,0.9418204426765442,0.9431466460227966,0.9404979944229126,106.29464721679688,2.384820646000037
kuleshov-group/mdlm-owt,random_token,0.3,0.2967032967032967,1,75,0.7975460122699387,0.9418128132820129,0.9356905221939087,0.9480156898498535,117.3577880859375,0.053521611999997276
kuleshov-group/mdlm-owt,random_token,0.3,0.297029702970297,1,75,0.839779005524862,0.9662649035453796,0.9655640125274658,0.9669667482376099,45.79478073120117,0.05292013500002213
kuleshov-group/mdlm-owt,random_token,0.3,0.2985781990521327,1,75,0.7999999999999999,0.940549373626709,0.9376927018165588,0.9434234499931335,113.44682312011719,0.07307824200000823
kuleshov-group/mdlm-owt,random_token,0.3,0.30067567567567566,1,75,0.8078431372549019,0.9441947937011719,0.9431208968162537,0.9452712535858154,76.64093780517578,0.060569434000001365
kuleshov-group/mdlm-owt,random_token,0.3,0.2976190476190476,1,75,0.8,0.9462208151817322,0.9451459050178528,0.9472980499267578,90.59984588623047,0.03870154899999534
kuleshov-group/mdlm-owt,random_token,0.3,0.2978723404255319,1,75,0.7777777777777778,0.9383578896522522,0.9333211183547974,0.9434492588043213,129.00601196289062,0.08750730799999928
kuleshov-group/mdlm-owt,random_token,0.3,0.2986425339366516,1,75,0.8431372549019608,0.9438396096229553,0.9428573846817017,0.9448238611221313,86.89688110351562,0.04726138000000901
kuleshov-group/mdlm-owt,random_token,0.3,0.30049261083743845,1,75,0.7750677506775069,0.9157652258872986,0.9112081527709961,0.9203680753707886,158.6936492919922,0.044392324999989796
kuleshov-group/mdlm-owt,random_token,0.3,0.299625468164794,1,75,0.8488612836438924,0.9613434076309204,0.9601889252662659,0.9625005722045898,28.32981300354004,0.05064204699999664
kuleshov-group/mdlm-owt,random_token,0.3,0.29838709677419356,1,75,0.8237885462555067,0.9536353349685669,0.950526773929596,0.9567643404006958,63.112205505371094,0.06085987099999102
kuleshov-group/mdlm-owt,random_token,0.3,0.2993421052631579,1,75,0.8117001828153564,0.9518581032752991,0.9506473541259766,0.9530720114707947,52.34821701049805,0.06034944800001085
kuleshov-group/mdlm-owt,random_token,0.3,0.3007518796992481,1,75,0.7898089171974523,0.9391355514526367,0.937913179397583,0.9403612017631531,66.97338104248047,0.05364215800000238
kuleshov-group/mdlm-owt,random_token,0.3,0.30337078651685395,1,75,0.84472049689441,0.9616633653640747,0.9636193513870239,0.9597153663635254,24.08359146118164,0.0336605870000426
kuleshov-group/mdlm-owt,random_token,0.3,0.3076923076923077,1,75,0.7818181818181819,0.946947455406189,0.9434931874275208,0.9504271745681763,135.02505493164062,0.03186034899999868
kuleshov-group/mdlm-owt,random_token,0.3,0.29838709677419356,1,75,0.7601809954751132,0.938635528087616,0.9362691640853882,0.9410139322280884,144.1636505126953,0.03660333900000978
kuleshov-group/mdlm-owt,random_token,0.3,0.2986111111111111,1,75,0.7756653992395437,0.9434930682182312,0.9413695335388184,0.9456262588500977,163.63308715820312,0.03750969999998688
kuleshov-group/mdlm-owt,random_token,0.3,0.30434782608695654,1,75,0.788235294117647,0.9566642642021179,0.957211971282959,0.9561171531677246,75.0263671875,0.033221995999952014
kuleshov-group/mdlm-owt,random_token,0.3,0.296875,1,75,0.768,0.9296416640281677,0.9270544648170471,0.9322434067726135,237.71107482910156,0.032747049000022344
kuleshov-group/mdlm-owt,random_token,0.3,0.29743589743589743,1,75,0.7674418604651162,0.9419375658035278,0.9437190294265747,0.9401629567146301,91.27947998046875,0.047381039000015335
kuleshov-group/mdlm-owt,random_token,0.3,0.30180180180180183,1,75,0.8053333333333333,0.9505525231361389,0.9504184722900391,0.9506865739822388,72.30435180664062,0.0500745300000176
kuleshov-group/mdlm-owt,random_token,0.3,0.3025210084033613,1,75,0.8137254901960785,0.94784015417099,0.9484537243843079,0.947227418422699,77.1823959350586,0.04280179700003828
kuleshov-group/mdlm-owt,random_token,0.3,0.30303030303030304,1,75,0.868131868131868,0.9561923742294312,0.9574053883552551,0.9549822807312012,32.807498931884766,0.039876577000029556
kuleshov-group/mdlm-owt,random_token,0.3,0.3,1,75,0.8092485549132948,0.9537337422370911,0.9534739851951599,0.9539937973022461,49.39768600463867,0.03280150099999446
kuleshov-group/mdlm-owt,random_token,0.3,0.3014354066985646,1,75,0.7967032967032966,0.9479994773864746,0.9459778070449829,0.9500297904014587,68.63016510009766,0.043652741999949285
kuleshov-group/mdlm-owt,random_token,0.3,0.30141843971631205,1,75,0.8382066276803118,0.9436706900596619,0.9425715208053589,0.9447724223136902,72.54989624023438,0.050891588000013144
kuleshov-group/mdlm-owt,random_token,0.3,0.3,1,75,0.819277108433735,0.9324289560317993,0.9295026063919067,0.9353737831115723,101.00460815429688,0.03579706100003932
kuleshov-group/mdlm-owt,random_token,0.3,0.29775280898876405,1,75,0.7975460122699387,0.9469322562217712,0.9431421756744385,0.950752854347229,75.93392944335938,0.0413936900000067
kuleshov-group/mdlm-owt,random_token,0.3,0.3006993006993007,1,75,0.8507462686567164,0.9462241530418396,0.9463204741477966,0.9461278915405273,50.49441909790039,0.038750228999958836
kuleshov-group/mdlm-owt,random_token,0.3,0.29545454545454547,1,75,0.7710843373493976,0.9421778321266174,0.9413754940032959,0.942981481552124,184.03335571289062,0.029948712000020805
kuleshov-group/mdlm-owt,random_token,0.3,0.3125,1,75,0.9032258064516129,0.9597736597061157,0.9579023122787476,0.961652398109436,49.96222686767578,0.06915358200001265
kuleshov-group/mdlm-owt,random_token,0.3,0.2857142857142857,1,75,0.85,0.9755743145942688,0.9755743145942688,0.9755743145942688,149.1354217529297,0.028252139000016996
kuleshov-group/mdlm-owt,random_token,0.3,0.2857142857142857,1,75,0.8205128205128205,0.9618226289749146,0.9581866264343262,0.9654862880706787,297.6802978515625,0.02834700799996881
kuleshov-group/mdlm-owt,random_token,0.3,0.29333333333333333,1,75,0.7883211678832117,0.9360288381576538,0.9333476424217224,0.9387254118919373,101.08729553222656,0.031862974999967264
kuleshov-group/mdlm-owt,random_token,0.3,0.3023255813953488,1,75,0.7974683544303798,0.947111189365387,0.9448403120040894,0.9493929743766785,104.10009765625,0.03272072200002185
kuleshov-group/mdlm-owt,random_token,0.3,0.2982456140350877,1,75,0.7368421052631579,0.9434168338775635,0.9453037977218628,0.9415373802185059,147.5988006591797,0.03350367799998821
kuleshov-group/mdlm-owt,random_token,0.3,0.29714285714285715,1,75,0.7557003257328989,0.9310649633407593,0.9258840084075928,0.9363042712211609,131.8963165283203,0.05742102200002819
kuleshov-group/mdlm-owt,random_token,0.3,0.3058823529411765,1,75,0.7368421052631579,0.9408523440361023,0.9364125728607178,0.9453344345092773,100.70198059082031,0.033836826000026576
kuleshov-group/mdlm-owt,random_token,0.3,0.29310344827586204,1,75,0.780952380952381,0.957525908946991,0.9567165374755859,0.958336591720581,185.49026489257812,0.031667069999969044
kuleshov-group/mdlm-owt,random_token,0.3,0.29896907216494845,1,75,0.7616279069767443,0.937593400478363,0.9363971948623657,0.9387927055358887,103.08504486083984,0.042208057999971516
kuleshov-group/mdlm-owt,random_token,0.3,0.29714285714285715,1,75,0.7962382445141065,0.9345238208770752,0.9325954914093018,0.9364601969718933,149.1703338623047,0.039044285999978
kuleshov-group/mdlm-owt,random_token,0.3,0.3017241379310345,1,75,0.8055555555555556,0.9548074007034302,0.9543721675872803,0.9552429914474487,74.9557113647461,0.03709368700003779
kuleshov-group/mdlm-owt,random_token,0.3,0.3023255813953488,1,75,0.8309178743961353,0.9512832760810852,0.9512414932250977,0.9513250589370728,64.22613525390625,0.036045284000010724
kuleshov-group/mdlm-owt,random_token,0.3,0.3037974683544304,1,75,0.7857142857142857,0.9597525000572205,0.9597668647766113,0.9597381353378296,66.95054626464844,0.03265828799999326
kuleshov-group/mdlm-owt,random_token,0.3,0.29577464788732394,1,75,0.7474747474747474,0.9426803588867188,0.941021740436554,0.9443448781967163,180.44508361816406,0.03218900899997834
kuleshov-group/mdlm-owt,random_token,0.3,0.2978723404255319,1,75,0.7380952380952381,0.941252589225769,0.9400562047958374,0.942452073097229,168.5968017578125,0.029869645000019318
kuleshov-group/mdlm-owt,random_token,0.3,0.3,1,75,0.6153846153846153,0.9023185968399048,0.9031727313995361,0.9014661312103271,642.0752563476562,0.028663708999999926
kuleshov-group/mdlm-owt,random_token,0.3,0.2857142857142857,1,75,0.7200000000000001,0.9270455241203308,0.9270867109298706,0.9270043969154358,2325.78955078125,0.028651434000039444
kuleshov-group/mdlm-owt,random_token,0.3,0.3,1,75,0.7142857142857143,0.8987311720848083,0.9014967083930969,0.895982563495636,1218.8212890625,0.02747936500003334
kuleshov-group/mdlm-owt,random_token,0.3,0.3125,1,75,0.7333333333333333,0.9200674891471863,0.9124580025672913,0.9278050661087036,937.4442138671875,0.03422107199997981
kuleshov-group/mdlm-owt,random_token,0.3,0.3,1,75,0.7407407407407407,0.933638334274292,0.9330208897590637,0.9342566132545471,132.72874450683594,0.04491800199997442
kuleshov-group/mdlm-owt,random_token,0.3,0.29914529914529914,1,75,0.7219512195121951,0.9132838249206543,0.9100521802902222,0.9165385961532593,118.2079849243164,0.07515511299999389
kuleshov-group/mdlm-owt,random_token,0.3,0.29411764705882354,1,75,0.78125,0.8890083432197571,0.8801509141921997,0.8980457782745361,1010.2701416015625,0.06270554799999672
kuleshov-group/mdlm-owt,random_token,0.3,0.3,1,75,0.7222222222222222,0.9439206719398499,0.9419530034065247,0.9458967447280884,774.9900512695312,0.06674045099998693
kuleshov-group/mdlm-owt,random_token,0.3,0.2975206611570248,1,75,0.8169014084507042,0.9585532546043396,0.9578678011894226,0.9592396020889282,45.51955032348633,0.08502553200003149
kuleshov-group/mdlm-owt,random_token,0.3,0.3018867924528302,1,75,0.7999999999999999,0.9479848742485046,0.946231484413147,0.949744701385498,84.51191711425781,0.07913919499998201
kuleshov-group/mdlm-owt,random_token,0.3,0.2962962962962963,1,75,0.8,0.9437854290008545,0.9419116973876953,0.9456666707992554,91.82320404052734,0.05809206800000766
kuleshov-group/mdlm-owt,random_token,0.3,0.2909090909090909,1,75,0.803921568627451,0.9440184831619263,0.9385251998901367,0.9495763778686523,189.62420654296875,0.10254815399997597
kuleshov-group/mdlm-owt,random_token,0.3,0.29891304347826086,1,75,0.8012232415902141,0.9508775472640991,0.9500943422317505,0.9516621232032776,59.49522018432617,0.05003699100001313
kuleshov-group/mdlm-owt,random_token,0.3,0.30952380952380953,1,75,0.8421052631578947,0.957316517829895,0.9537699818611145,0.9608896374702454,94.43795776367188,0.030133137999996507
kuleshov-group/mdlm-owt,random_token,0.3,0.29914529914529914,1,75,0.8815165876777252,0.9601829051971436,0.9599149227142334,0.9604511260986328,73.03504180908203,0.03668818799997098
kuleshov-group/mdlm-owt,random_token,0.3,0.30275229357798167,1,75,0.84,0.9540344476699829,0.9531550407409668,0.9549155235290527,53.13850784301758,0.03606913200002282
kuleshov-group/mdlm-owt,random_token,0.3,0.3058823529411765,1,75,0.8533333333333335,0.9687166213989258,0.9694463610649109,0.9679880142211914,48.503658294677734,0.034168308000005254
kuleshov-group/mdlm-owt,random_token,0.3,0.30120481927710846,1,75,0.7862068965517242,0.9392238855361938,0.9366260170936584,0.9418362379074097,199.8731231689453,0.03564510900002915
kuleshov-group/mdlm-owt,random_token,0.3,0.3,1,75,0.7391304347826085,0.9281628131866455,0.9254684448242188,0.930872917175293,327.0108337402344,0.03255752300003678
kuleshov-group/mdlm-owt,random_token,0.3,0.3023255813953488,1,75,0.7945205479452053,0.9355654120445251,0.938874363899231,0.9322795867919922,61.61732482910156,0.0322343190000538
kuleshov-group/mdlm-owt,random_token,0.3,0.2948717948717949,1,75,0.7746478873239436,0.9360852241516113,0.933220386505127,0.9389677047729492,134.5983428955078,0.03263756100000137
kuleshov-group/mdlm-owt,random_token,0.3,0.2978723404255319,1,75,0.8000000000000002,0.957667350769043,0.9560410380363464,0.9592993259429932,65.11473083496094,0.029969151999978294
kuleshov-group/mdlm-owt,random_token,0.3,0.2962962962962963,1,75,0.8029197080291971,0.9412757158279419,0.9393132328987122,0.9432464838027954,89.48674774169922,0.032428229000004194
kuleshov-group/mdlm-owt,random_token,0.3,0.3037974683544304,1,75,0.8285714285714286,0.9294973015785217,0.9299814701080322,0.9290136098861694,337.5225830078125,0.0377992909999989
kuleshov-group/mdlm-owt,random_token,0.3,0.2948717948717949,1,75,0.7837837837837838,0.9310332536697388,0.9251608848571777,0.9369806051254272,247.0780029296875,0.03329554700002291
kuleshov-group/mdlm-owt,random_token,0.3,0.3048780487804878,1,75,0.736111111111111,0.9314870238304138,0.931702733039856,0.9312714338302612,190.83779907226562,0.03220177999997986
kuleshov-group/mdlm-owt,random_token,0.3,0.2980769230769231,1,75,0.7912087912087912,0.943356990814209,0.9415581822395325,0.9451626539230347,110.87179565429688,0.033496146999993925
kuleshov-group/mdlm-owt,random_token,0.3,0.2994652406417112,1,75,0.8143712574850299,0.9523617029190063,0.9535663723945618,0.9511599540710449,137.51220703125,0.0413115869999956
